MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
FR,France,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,Transition,2014,145993387.00,1372337.83,0.00,0.00,0.00,0.00,0.00,1372337.83,0.00,0.00,0.00,1372337.83,0.94,0.94
LT,Lithuania,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,ERDF,REACT-EU,2022,278146704.00,106501248.00,0.00,0.00,10296322.88,0.00,4733388.80,112064182.08,138337906.53,0.00,138337906.53,250402088.61,90.03,90.03
BE,Belgium,2014BE16RFOP003,Wallonia - ERDF,ERDF,More developed,2017,25084586.00,699220.05,0.00,0.00,1077964.24,0.00,466146.70,1311037.59,840521.80,0.00,840521.80,2151559.39,8.58,8.58
IT,Italy,2014IT05SFOP005,Lazio  - ESF,ESF,More developed,2020,451267357.00,12725739.48,0.00,0.00,56205349.38,17521547.38,19618848.37,31790693.11,104276310.71,1690043.31,120107814.78,151898507.89,33.66,33.66
DE,Germany,2014DE05SFOP014,Thüringen - ESF,ESF,Transition,2022,499319106.00,14080798.80,0.00,0.00,82162958.95,8943205.03,49739272.95,37561279.77,368443417.35,0.00,377386622.38,414947902.15,83.10,83.10
SE,Sweden,2014SE16RFOP002,Småland and islands - ERDF,ERDF,More developed,2017,65081953.00,1861775.85,0.00,0.00,2870237.78,0.00,1241183.90,3490829.73,6108648.87,0.00,6108648.87,9599478.60,14.75,14.75
PT,Portugal,2014PT16M2OP006,Madeira - ERDF/ESF,ERDF,More developed,2015,216155913.00,5075926.33,0.00,0.00,0.00,0.00,0.00,5075926.33,0.00,0.00,0.00,5075926.33,2.35,2.35
ES,Spain,2014ES05SFOP014,Canarias - ESF,ESF,Transition,2015,162423811.00,3816959.53,0.00,0.00,0.00,0.00,0.00,3816959.53,0.00,0.00,0.00,3816959.53,2.35,2.35
GR,Greece,2014GR16M2OP012,Attica - ERDF/ESF,ESF,More developed,2019,259844914.00,8772352.40,15351616.70,0.00,23861621.65,4322237.10,12527661.19,31135692.46,88603278.57,0.00,92925515.67,124061208.13,47.74,47.74
FR,France,2014FR16M2OP009,Poitou-Charentes - ERDF/ESF,ERDF,Transition,2019,222973695.00,6287858.19,0.00,0.00,21483515.49,687041.23,14770610.16,12313722.29,58412722.47,672706.62,58427057.08,70740779.37,31.73,31.73
ES,Spain,2014ES14MFOP001,Maritime and Fisheries - Spain,EMFF,,2022,1057143957.00,38217327.26,0.00,0.00,186710077.15,28611816.44,116000748.22,80314839.75,509168492.41,0.00,537780308.85,618095148.60,58.47,53.21
RO,Romania,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,More developed,2017,249087740.00,9359521.09,0.00,0.00,10821946.25,0.00,4679760.54,15501706.80,41383767.40,0.00,41383767.40,56885474.20,22.84,22.84
TC,Interreg,2014TC16RFCB019,Interreg V-A - Germany (Mecklenburg-Vorpommern-Brandenburg) -Poland,ERDF,,2019,134000414.00,4020012.42,0.00,0.00,13735042.44,342093.74,9540436.80,7872524.32,16167434.12,0.00,16509527.86,24382052.18,18.20,18.20
ES,Spain,2014ES05SFOP016,Extremadura - ESF,ESF,Less developed,2018,274376562.00,8726407.17,0.00,0.00,18387786.53,0.00,11531323.76,15582869.94,67389034.31,0.00,67389034.31,82971904.25,30.24,30.24
PL,Poland,2014PL16M2OP014,Warmińsko-Mazurskie Voivodeship - ERDF/ESF,ERDF,REACT-EU,2023,24001977.00,9063590.40,0.00,0.00,882865.78,0.00,402826.24,9543629.94,9865725.80,0.00,9865725.80,19409355.74,80.87,80.87
IT,Italy,2014IT06RDRN001,Italy - Rural Network,EAFRD,,2023,67671767.00,1790153.01,0.00,0.00,0.00,0.00,0.00,1790153.01,49623128.31,0.00,49623128.31,51413281.32,75.97,75.97
PT,Portugal,2014PT16M2OP006,Madeira - ERDF/ESF,ERDF,More developed,2016,216155913.00,7106296.86,0.00,0.00,4060741.06,0.00,0.00,11167037.92,24759098.62,0.00,24759098.62,35926136.54,16.62,16.62
IT,Italy,2014IT05SFOP018,Trento  - ESF,ESF,More developed,2022,63218677.00,1550717.76,0.00,0.00,9377750.52,3593861.25,4168370.97,3166236.06,45147663.23,0.00,48741524.48,51907760.54,82.11,82.11
TC,Interreg,2014TC16RFIR001,Interreg Europe,ERDF,,2021,359326320.00,10779789.60,0.00,0.00,54797263.80,14893717.06,27013181.84,23670154.50,212859878.39,0.00,227753595.45,251423749.95,69.97,69.97
LV,Latvia,2014LV16MAOP001,Growth and Employment - LV - ERDF/ESF/CF/YEI,YEI ESF Matching Component,,2018,29010639.00,870319.17,0.00,0.00,1569309.13,1026248.70,315493.35,1097886.25,18158445.25,0.00,19184693.95,20282580.20,69.91,69.91
TC,Interreg,2014TC16RFCB033,Interreg V-A - Italy-France (Maritime),ERDF,,2018,169702411.00,5091072.33,0.00,0.00,12515552.81,0.00,7848736.51,9757888.63,10041474.18,0.00,10041474.18,19799362.81,11.67,11.67
HR,Croatia,2014HR16M1OP001,Competitiveness and Cohesion  - HR - ERDF/CF,ERDF,Less developed,2019,4321499588.00,121866288.39,0.00,0.00,416376485.36,16587490.86,283000468.13,238654814.76,1078824528.38,0.00,1095412019.24,1334066834.00,30.87,30.87
SK,Slovakia,2014SK05M0OP001,Human Resources - SK - ESF/ERDF/YEI,YEI ESF Matching Component,,2023,86135471.00,2165257.77,0.00,0.00,14294612.04,6212106.88,7841470.01,2406292.92,80597704.65,3624106.72,83185704.81,85591997.73,99.37,99.37
PL,Poland,2014PL05M9OP001,Knowledge Education Growth  - PL - ESF/YEI,YEI ESF Matching Component,,2022,269675041.00,7573134.66,0.00,0.00,15610693.85,16597862.08,3814517.13,2771449.30,174078219.48,0.00,190676081.56,193447530.86,71.73,71.73
PT,Portugal,2014PT16M2OP006,Madeira - ERDF/ESF,ERDF,Outermost or Northern Sparsely Populated,2017,58181815.00,1914181.71,0.00,0.00,2529454.40,0.00,1093818.12,3349817.99,14579298.68,0.00,14579298.68,17929116.67,30.82,30.82
FR,France,2014FR16M2OP012,Mayotte - ERDF/ESF,ERDF,Outermost or Northern Sparsely Populated,2019,2840257.00,80095.26,0.00,0.00,273658.81,0.00,196900.85,156853.22,0.00,0.00,0.00,156853.22,5.52,5.52
BG,Bulgaria,2014BG16M1OP002,Environment - BG - ERDF/CF,CF,,2023,1104246747.00,31968080.70,0.00,0.00,208677601.35,44642149.71,118530543.70,77472988.64,805584833.17,0.00,850226982.88,927699971.52,84.01,82.48
IT,Italy,2014IT14MFOP001,Maritime and Fisheries - Italy,EMFF,,2019,537262559.00,15150804.15,0.00,0.00,51765247.52,0.00,37245726.88,29670324.79,115053705.89,14990950.33,100062755.56,129733080.35,24.15,24.15
BG,Bulgaria,2014BG16M1OP002,Environment - BG - ERDF/CF,ERDF,Less developed,2023,335717166.00,10467960.09,0.00,0.00,67216215.08,11594788.17,42708178.40,23381208.60,278762025.84,27215466.14,263141347.87,286522556.47,85.35,81.93
PT,Portugal,2014PT16M2OP004,Azores - ERDF/ESF,ERDF,Outermost or Northern Sparsely Populated,2022,57500000.00,1891750.00,0.00,0.00,7161625.00,4932062.50,2567375.00,1553937.50,51014000.00,671081.82,55274980.68,56828918.18,98.83,98.83
DE,Germany,2014DE16RFOP015,Thüringen - ERDF,ERDF,Transition,2021,1165077915.00,32855197.20,0.00,0.00,168412012.61,24501676.92,89122546.74,87642986.15,550193406.66,0.00,574695083.58,662338069.73,56.85,56.85
ES,Spain,2014ES05SFOP017,Melilla  - ESF,ESF,REACT-EU,2023,12959093.00,1673659.35,0.00,0.00,518363.72,0.00,259181.86,1932841.21,3892910.08,0.00,3892910.08,5825751.29,44.95,44.95
HU,Hungary,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,ESF,Less developed,2016,1735298844.00,48935427.39,0.00,0.00,32623618.26,0.00,0.00,81559045.65,0.00,0.00,0.00,81559045.65,4.70,4.70
PT,Portugal,2014PT06RDRP002,Continental Portugal - Rural Development,EAFRD,,2022,4786287032.00,125430508.81,0.00,0.00,0.00,0.00,0.00,125430508.81,3424824756.28,0.00,3424824756.28,3550255265.09,74.18,74.18
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,REACT-EU,2023,159103812.00,17856777.45,0.00,0.00,7943883.56,403222.59,4358584.73,21038853.69,24006020.72,0.00,24409243.31,45448097.00,28.57,28.57
PL,Poland,2014PL16M2OP007,Mazowieckie Voivodeship - ERDF/ESF,ESF,More developed,2015,545153821.00,10248891.80,0.00,0.00,0.00,0.00,0.00,10248891.80,0.00,0.00,0.00,10248891.80,1.88,1.88
FR,France,2014FR16M0OP004,Champagne-Ardenne - ERDF/ESF/YEI,ESF,More developed,2021,31434743.00,1014868.02,0.00,0.00,5047420.97,692017.27,2963266.00,2407005.72,31064910.98,0.00,31756928.25,34163933.97,108.68,108.68
DE,Germany,2014DE05SFOP010,Nordrhein-Westfalen - ESF,ESF,More developed,2015,627000596.00,11787611.20,0.00,0.00,0.00,0.00,0.00,11787611.20,0.00,0.00,0.00,11787611.20,1.88,1.88
FR,France,2014FR16M2OP001,Basse-Normandie - ERDF/ESF,ERDF,Transition,2015,187000606.00,3515611.40,0.00,0.00,0.00,0.00,0.00,3515611.40,0.00,0.00,0.00,3515611.40,1.88,1.88
LU,Luxembourg,2014LU16RFOP001,Luxembourg - ERDF,ERDF,More developed,2017,19502403.00,549967.77,0.00,0.00,847866.98,0.00,366645.18,1031189.57,1582122.90,0.00,1582122.90,2613312.47,13.40,13.40
UK,United Kingdom,2014UK05SFOP001,West Wales and the Valleys - ESF,ESF,Less developed,2023,804554786.00,22625996.40,0.00,0.00,148384310.82,58008009.34,60969029.34,52033268.54,690688681.41,0.00,748696690.75,800729959.29,99.52,99.52
DE,Germany,2014DE16RFOP008,Mecklenburg-Vorpommern  - ERDF,ERDF,Transition,2015,967806184.00,18194756.26,0.00,0.00,0.00,0.00,0.00,18194756.26,0.00,0.00,0.00,18194756.26,1.88,1.88
RO,Romania,2014RO16RFTA001,Technical Assistance - RO - ERDF,ERDF,Less developed,2018,240510639.00,8020425.57,0.00,0.00,15887659.62,0.00,9273617.05,14634468.14,76772177.25,0.00,76772177.25,91406645.39,38.01,38.01
AT,Austria,2014AT05SFOP001,Employment - AT - ESF,ESF,Transition,2023,25306234.00,713635.80,0.00,0.00,4670265.50,1361002.71,2552363.92,1470534.67,21225348.87,0.00,22586351.58,24056886.25,95.06,95.06
FR,France,2014FR16M2OP005,Franche-Comté et Jura - ERDF/ESF,ERDF,REACT-EU,2022,50903209.00,6296034.60,0.00,0.00,1678942.56,0.00,839471.28,7135505.88,0.00,0.00,0.00,7135505.88,14.02,14.02
ES,Spain,2014ES06RDRP016,La Rioja  - Rural Development,EAFRD,,2015,70010129.00,1750253.23,0.00,0.00,0.00,0.00,0.00,1750253.23,887514.08,0.00,887514.08,2637767.31,3.77,3.77
DE,Germany,2014DE16RFOP005,Bremen - ERDF,ERDF,REACT-EU,2022,26361871.00,2947867.80,0.00,0.00,527237.42,0.00,0.00,3475105.22,636039.81,0.00,636039.81,4111145.03,15.60,15.60
IT,Italy,2014IT16RFOP003,Enterprises and Competitiveness - IT - ERDF,ERDF,Less developed,2019,1957610619.00,46950900.00,0.00,0.00,177657225.50,11265110.67,113655875.35,99687139.48,381005460.91,0.00,392270571.58,491957711.06,25.13,25.13
IE,Ireland,2014IE16RFOP001,Border Midland and Western Regional - ERDF,ERDF,More developed,2022,160708921.00,5267197.15,0.00,0.00,26418006.20,7058576.08,14132204.02,10494423.25,141906797.07,1339698.49,147625674.66,158120097.91,98.39,98.39
CZ,Czechia,2014CZ16M1OP001,Transport - CZ - ERDF/CF,CF,,2019,3657452860.00,106722256.68,0.00,0.00,355666404.81,47241378.50,209805091.79,205342191.20,1308025021.81,0.00,1355266400.31,1560608591.51,42.67,42.67
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ERDF,Less developed,2019,100991865.00,4426668.16,7746669.28,0.00,10524736.06,4043930.84,3577289.10,15076853.56,49624328.49,0.00,53668259.33,68745112.89,68.07,68.07
PL,Poland,2014PL16M1OP001,Infrastructure and Environment - PL - ERDF/CF,ERDF,REACT-EU,2023,767890627.00,303693505.65,0.00,0.00,28855301.68,0.00,13497489.14,319051318.19,448839308.81,0.00,448839308.81,767890627.00,100.00,100.00
BE,Belgium,2014BE05M9OP002,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,YEI ESF Matching Component,,2021,9012968.00,176133.30,0.00,0.00,1208029.86,83297.97,694296.73,606568.46,6376519.21,1744.28,6458072.90,7064641.36,78.38,78.38
RO,Romania,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,Less developed,2017,1080699494.00,40579636.88,0.00,0.00,46920205.14,0.00,20289818.44,67210023.58,17734986.68,0.00,17734986.68,84945010.26,7.86,7.86
IT,Italy,2014IT16RFOP003,Enterprises and Competitiveness - IT - ERDF,ERDF,More developed,2020,49387270.00,0.00,0.00,0.00,4004072.85,23.79,1276660.91,2727388.15,214.09,0.00,237.88,2727626.03,5.52,5.52
ES,Spain,2014ES05SFTA001,Technical Assistance - ES - ESF,ESF,Transition,2019,16726460.00,731782.59,0.00,0.00,2143077.59,0.00,1541970.46,1332889.72,3923351.72,0.00,3923351.72,5256241.44,31.42,31.42
SE,Sweden,2014SE05M9OP001,Investments in growth and employInvestments in growth and employment - SE - ESF/YEIment - ESF/YEI,ESF,More developed,2022,711595104.00,20355980.46,0.00,0.00,121899619.60,27136391.85,69751027.15,45368181.06,460577919.90,2017716.39,485696595.36,531064776.42,74.63,74.63
DE,Germany,2014DE16RFOP012,Sachsen - ERDF,ERDF,Transition,2019,1873092389.00,52821205.35,0.00,0.00,180472451.60,9916009.04,119936120.77,103441527.14,435711532.04,0.00,445627541.08,549069068.22,29.31,29.31
PL,Poland,2014PL16M2OP011,Pomorskie Voivodeship - ERDF/ESF,ERDF,Less developed,2020,1340249168.00,37795026.54,0.00,0.00,166928033.90,26059748.02,80603553.75,98059758.67,689326388.02,0.00,715386136.04,813445894.71,60.69,60.69
FI,Finland,2014FI14MFOP001,Maritime and Fisheries - Finland,EMFF,,2016,74393168.00,2097887.34,0.00,0.00,1398591.56,0.00,0.00,3496478.90,4212531.00,0.00,4212531.00,7709009.90,10.36,10.36
SE,Sweden,2014SE16RFOP006,North-Central Sweden - ERDF,ERDF,More developed,2021,144955259.00,4146682.68,0.00,0.00,21044154.89,7312695.08,9150925.71,8727216.78,87328387.20,0.00,94641082.28,103368299.06,71.31,71.31
CZ,Czechia,2014CZ16CFTA001,Technical Assistance - CZ - CF,CF,,2019,209704582.00,6711137.46,0.00,0.00,22142219.66,4067386.18,12045826.75,12740144.19,90265815.43,0.00,94333201.61,107073345.80,51.06,51.06
PL,Poland,2014PL16M2OP013,Świętokrzyskie Voivodeship - ERDF/ESF,ESF,Less developed,2017,383839527.00,10824274.65,0.00,0.00,16687423.41,0.00,7216183.10,20295514.96,50740081.17,361520.00,50378561.17,70674076.13,18.41,18.41
FR,France,2014FR16RFOP005,Interregional Rhône Saône - ERDF,ERDF,Transition,2018,19404000.00,547192.80,0.00,0.00,1345182.30,218464.78,625124.12,1048786.20,3626970.17,0.00,3845434.95,4894221.15,25.22,25.22
BG,Bulgaria,2014BG16RFOP002,Innovations and Competitiveness - BG - ERDF,ERDF,Less developed,2018,1123075325.00,32301557.55,0.00,0.00,74392995.66,16171757.49,30481477.08,60041318.64,306247769.29,0.00,322419526.78,382460845.42,34.05,34.05
IT,Italy,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Transition,2015,10641458.00,200059.42,0.00,0.00,0.00,0.00,0.00,200059.42,0.00,0.00,0.00,200059.42,1.88,1.88
IE,Ireland,2014IE05M9OP001,Ireland - ESF/YEI,ESF,More developed,2017,476370407.00,15604178.55,0.00,0.00,20619807.38,0.00,8916673.46,27307312.47,0.00,0.00,0.00,27307312.47,5.73,5.73
SE,Sweden,2014SE16RFOP001,South Sweden - ERDF,ERDF,More developed,2018,60151503.00,1720732.26,0.00,0.00,4207711.85,557591.01,2095204.56,3275648.54,15720702.61,0.00,16278293.62,19553942.16,32.51,32.51
BG,Bulgaria,2014BG05M9OP001,Human Resources Development  - BG - ESF/YEI,ESF,Less developed,2016,828287825.00,23247172.89,0.00,0.00,15498115.26,0.00,0.00,38745288.15,31904855.57,0.00,31904855.57,70650143.72,8.53,8.53
FR,France,2014FR16M0OP007,Midi-Pyrénées et Garonne - ERDF/ESF/YEI,ERDF,REACT-EU,2022,111405335.00,13334533.20,0.00,0.00,3555875.52,0.00,1777937.76,15112470.96,29587342.70,0.00,29587342.70,44699813.66,40.12,40.12
AT,Austria,2014AT14MFOP001,Maritime and Fisheries - Austria,EMFF,,2018,6965000.00,196413.00,0.00,0.00,482848.64,44095.47,258707.92,376458.25,1031166.15,0.00,1075261.62,1451719.87,20.84,20.84
FR,France,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,YEI Specific Allocation,,2022,20949463.00,410838.99,3971443.57,0.00,3260658.80,595076.23,1837207.86,5210657.27,6099426.90,0.00,6694503.13,11905160.40,56.83,56.83
FR,France,2014FR16M2TA001,Technical Assistance - FR - ERDF/ESF,ERDF,More developed,2016,17936439.00,538093.17,0.00,0.00,358728.78,0.00,0.00,896821.95,1152838.42,0.00,1152838.42,2049660.37,11.43,11.43
PL,Poland,2014PL05M9OP001,Knowledge Education Growth  - PL - ESF/YEI,ESF,More developed,2023,566433148.00,16036188.69,0.00,0.00,104632013.90,37432847.94,45662545.92,37572808.73,486536887.88,0.00,523969735.82,561542544.55,99.14,99.14
GR,Greece,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Less developed,2023,112499500.00,4276948.80,7484660.40,0.00,23138176.47,3413374.15,13313974.26,18172437.26,90913688.59,0.00,94327062.74,112499500.00,100.00,100.00
PL,Poland,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2018,2498891499.00,70468740.15,0.00,0.00,173235652.86,10645836.66,97993471.06,135065085.29,408326059.27,0.00,418971895.93,554036981.22,22.17,22.17
ES,Spain,2014ES16RFOP008,Cantabria  - ERDF,ERDF,More developed,2018,56299103.00,1716257.31,0.00,0.00,3710546.31,0.00,2267911.43,3158892.19,20795599.54,0.00,20795599.54,23954491.73,42.55,42.55
DK,Denmark,2014DK05SFOP001,Educational and Entrepreneurial Growth - DK - ESF,ESF,More developed,2015,164596155.00,3094407.74,0.00,0.00,0.00,0.00,0.00,3094407.74,0.00,0.00,0.00,3094407.74,1.88,1.88
SK,Slovakia,2014SK14MFOP001,Maritime and Fisheries - Slovakia,EMFF,,2017,15785000.00,445137.00,0.00,0.00,686252.88,0.00,296758.00,834631.88,0.00,0.00,0.00,834631.88,5.29,5.29
DE,Germany,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,ERDF,More developed,2014,1211731011.00,11390271.50,0.00,0.00,0.00,0.00,0.00,11390271.50,0.00,0.00,0.00,11390271.50,0.94,0.94
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,YEI ESF Matching Component,,2020,9211536.00,276346.08,0.00,0.00,1220528.52,453882.86,225467.92,817523.82,7818268.89,0.00,8272151.75,9089675.57,98.68,98.68
DE,Germany,2014DE16RFOP001,Baden-Württemberg - ERDF,ERDF,More developed,2019,246585038.00,6953698.08,0.00,0.00,23758468.44,1508515.43,15585992.35,13617658.74,63340669.24,0.00,64849184.67,78466843.41,31.82,31.82
SI,Slovenia,2014SI05FMOP001,FEAD - Slovenia,FEAD,,2018,20512235.00,2256345.85,0.00,0.00,0.00,0.00,0.00,2256345.85,9135448.01,0.00,9135448.01,11391793.86,55.54,55.54
IT,Italy,2014IT06RDRN001,Italy - Rural Network,EAFRD,,2018,59671767.00,1790153.01,0.00,0.00,0.00,0.00,0.00,1790153.01,977.28,0.00,977.28,1791130.29,3.00,3.00
TC,Interreg,2014TC16RFCB030,Interreg V-A - Slovakia-Czech Republic,ERDF,,2020,90139463.00,2704183.89,0.00,0.00,11943478.84,131116.70,6647785.39,7868760.64,22234638.42,0.00,22365755.12,30234515.76,33.54,33.54
AT,Austria,2014AT05SFOP001,Employment - AT - ESF,ESF,More developed,2016,416781119.00,11753227.56,0.00,0.00,7835485.04,0.00,0.00,19588712.60,0.00,0.00,0.00,19588712.60,4.70,4.70
FR,France,2014FR16M0OP013,Provence-Alpes-Côte d'Azur - ERDF/ESF/YEI,ERDF,More developed,2018,284316236.00,8017717.86,0.00,0.00,19710223.08,196186.25,12164462.12,15367292.57,45891727.29,0.00,46087913.54,61455206.11,21.62,21.62
ES,Spain,2014ES05SFOP008,Ceuta  - ESF,ESF,More developed,2020,10543817.00,339590.06,0.00,0.00,1297847.06,284946.66,715564.76,636925.70,3896542.98,0.00,4181489.64,4818415.34,45.70,45.70
RO,Romania,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,More developed,2016,249087740.00,9359521.09,0.00,0.00,4679760.54,0.00,0.00,14039281.63,0.00,0.00,0.00,14039281.63,5.64,5.64
SK,Slovakia,2014SK14MFOP001,Maritime and Fisheries - Slovakia,EMFF,,2019,12953025.00,445137.00,0.00,0.00,1520884.76,0.00,1094295.13,871726.63,602401.75,0.00,602401.75,1474128.38,11.38,9.93
HU,Hungary,2014HU16M1OP001,Environmental and Energy Efficiency  - HU - ERDF/CF,CF,,2017,3131268934.00,87953575.50,0.00,0.00,135595095.56,0.00,58635717.00,164912954.06,171967691.74,0.00,171967691.74,336880645.80,10.76,10.76
IE,Ireland,2014IE06RDNP001,Ireland - National Rural Development,EAFRD,,2020,2190589653.00,76670725.36,0.00,0.00,0.00,0.00,0.00,76670725.36,1812096866.68,0.00,1812096866.68,1888767592.04,86.22,86.22
PT,Portugal,2014PT16M2OP004,Azores - ERDF/ESF,ESF,REACT-EU,2023,28500000.00,3477966.15,0.00,0.00,1497457.64,0.00,927457.64,4047966.15,23469077.79,0.00,23469077.79,27517043.94,96.55,96.55
IT,Italy,2014IT16RFOP015,Sardegna - ERDF,ERDF,Transition,2016,465489541.00,13126805.07,0.00,0.00,8751203.38,0.00,0.00,21878008.45,0.00,0.00,0.00,21878008.45,4.70,4.70
TC,Interreg,2014TC16RFTN005,Interreg V-B - North Sea,ERDF,,2017,167253971.00,5017619.13,0.00,0.00,7735496.16,0.00,3345079.42,9408035.87,1509312.18,0.00,1509312.18,10917348.05,6.53,6.53
FR,France,2014FR16M0OP015,Lorraine et Vosges - ERDF/ESF/YEI,ESF,Transition,2016,71791201.00,2024511.87,0.00,0.00,1349674.58,0.00,0.00,3374186.45,495820.26,0.00,495820.26,3870006.71,5.39,5.39
TC,Interreg,2014TC16RFCB035,Interreg V-A - Italy-Switzerland,ERDF,,2023,100221466.00,3006643.98,0.00,0.00,19292632.22,4882304.28,9761271.66,7655700.26,68010919.21,0.00,72893223.49,80548923.75,80.37,80.37
GR,Greece,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2023,25641223.00,955243.49,1671676.10,0.00,5206722.09,966135.23,2794540.56,4072965.89,20602121.88,0.00,21568257.11,25641223.00,100.00,100.00
TC,Interreg,2014TC16M4TN002,Interreg V-B - Adriatic-Ionian,ERDF,,2018,83467729.00,2504031.87,0.00,0.00,6155745.01,0.00,3860382.46,4799394.42,1736994.84,0.00,1736994.84,6536389.26,7.83,7.83
FR,France,2014FR06RDRP024,Centre - Rural Development,EAFRD,,2016,345908130.00,10377243.90,0.00,0.00,0.00,0.00,0.00,10377243.90,16764257.39,0.00,16764257.39,27141501.29,7.85,7.85
TC,Interreg,2014TC16I5CB007,IPA CBC Bulgaria - Serbia,IPAE-contribution from ERDF,,2019,14493457.00,2995613.50,0.00,0.00,0.00,0.00,0.00,2995613.50,5400654.41,0.00,5400654.41,8396267.91,57.93,57.93
GR,Greece,2014GR16M2OP001,Competitiveness Entrepreneurship and Innovation - GR - ERDF/ESF,ESF,Less developed,2022,335140170.00,15661606.80,27407811.90,27407811.90,61971179.33,10509440.26,38307362.05,28815983.82,165255283.14,0.00,175764723.40,204580707.22,61.04,61.04
